tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
60783,CİHAT YÜCEL,1987,POR-8\'in (Ornithine-8-vazopressin) lokal vazokonstriktör olarak halothen anestezisinde değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('NdgrAx5MbeFgRjoN98gQvA','NdgrAx5MbeFgRjoN98gQvA')"
5346,LEBRİZ SAĞLAMER,1988,Sağlıklı ve henoch-schönlein sendromlu çocuklarda venöz staz (CUFF) testi ile fibrinolitik aktivitenin değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ezCc7Ju073r4CVKKSZlDPQ','ezCc7Ju073r4CVKKSZlDPQ')"
7495,HURİYE ALASYA,1989,Tiroid hastalıklarında mikrozom antigenine ve tiroglobüline karşı antikorların incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Efn735ElfQxcKuEoV4uydA','Efn735ElfQxcKuEoV4uydA')"
7496,ERCÜMENT YENTÜR,1989,Beyin cerrahisi olgularında intraoperatif izotonik NaCl infüzyonunun kan glukoz ve laktik asit düzeylerine etkisi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('ScbJoQjPyXy8xax53b7pjQ','ScbJoQjPyXy8xax53b7pjQ')"
7497,HİKMET DULUNDU,1989,Kronik maksiller sinüzitlerde anaerop bakterilerin rolü<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('g1GbfkfoPAoANgZ8rWrb_A','g1GbfkfoPAoANgZ8rWrb_A')"
158344,SALİHA ÜNSAL,1984,Mandibula kırıkları<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('Rd8D59zdF_e5HTrTdvMTxw','k8mlLFNo05e_fPPKIjxtkg')"
139774,NERGİS YÜZBAŞIOĞLU,1985,İstanbulda adveksiyon ve basınç sistemleri ile akut serebrovasküler hastalıklar arasındaki ilişkiler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Tıbbi Ekoloji ve Klimatoloji = Medical Ecology and Climatology," onclick=tezDetay('SrQBGZucYEbBrqEBuO1fKQ','x7lEZyNHioBhRLR1zysDww')"
8058,YEŞİM URAS,1990,Çeşitli yöntemlerle yapılan ovulasyon indüksiyonlarına alınan yanıtların karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('plM2WjlPybT4Z4Fcxr-2fQ','plM2WjlPybT4Z4Fcxr-2fQ')"
7869,M.YAVUZ SALİHOĞLU,1989,Normal ve toksikozlu gebelerde kan protein elektroforezi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('JHmb3oCBDexmlmxXc-hbhw','JHmb3oCBDexmlmxXc-hbhw')"
4926,BEHZAD TAKLİFİ,1988,Behçet hastalığında üç aşamalı paterji testinin standardizasyonu<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('waFjjy_h5KcDv7uzcdQKEA','waFjjy_h5KcDv7uzcdQKEA')"
8059,AYDIN İŞÇİMEN,1989,Behçet hastalığında negatif paterji testinin histopatolojisi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('-fr9ws6chEdLtxRgKSLR_g','-fr9ws6chEdLtxRgKSLR_g')"
8060,GÜNAY AYDIN TOSUN,1990,Hava yolları obstrüksiyonunun erken tanısında ortalama transit zamanının yeri<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('5fLQ77MPouPMy7AAP8SOzw','5fLQ77MPouPMy7AAP8SOzw')"
8061,KERİM BERDİ TALAİ,1990,Şizofrenide serebral ventrikül değişikliklerin bilgisayarlı beyin tomografisi ile araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikiyatri = Psychiatry," onclick=tezDetay('3avlhoyVJYg9tV7bMqj7ig','3avlhoyVJYg9tV7bMqj7ig')"
8062,NÜVİT SARIMURAT,1990,Koledoğu bağlanmış bir sıçan modelinde \'omento-porto-duodenopeksi\' nin safra drenajına etkisi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('W2DIJu764HZTonCxcpe81Q','W2DIJu764HZTonCxcpe81Q')"
8063,A.METİN AĞCAOĞLU,1990,Total patellektomiler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('GLAwBCwSFoB4jfVMq_7NBw','GLAwBCwSFoB4jfVMq_7NBw')"
80819,MAHMUT KARAMEHMETOĞLU,1985,Meniskusların diz eklemindeki işlevlerinin deneysel araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('AAigS7n5wQbBI5NPn6EXvQ','AAigS7n5wQbBI5NPn6EXvQ')"
7870,YAKUP ERKAN ERATA,1989,Antenatal dönemde fetal iyiliği değerlendirmede stimulasyon testin önemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('di13WfoLQMtaOQFSdgGpTw','di13WfoLQMtaOQFSdgGpTw')"
7871,ZEYNEP BAHADIRLI,1989,Oral su kontrast ve bolus iv kontrast enjeksiyonu uygulanarak yüksek rezolüsyonlu BT cihazı ile malign mide tümörlerinin evrelemesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('gudT0NsRDEHh5-AtktngYg','gudT0NsRDEHh5-AtktngYg')"
7872,ABDOL HALİM ASHOURMOHAMMADİ,1989,Retina dekolmanı tanısında ultrasonografinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('5NZVDu_z57GYFwR_gSEicg','5NZVDu_z57GYFwR_gSEicg')"
7873,MUHAMMED MANSUR SARAVİ,1989,Menisk lezyonlarında bilgisayarlı tomografi ile çift kontrastlı artrografinin tanıya katkılarının karşılaştırılması ve değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('qTe-NmzKtAEqSWjs_Tp9PQ','qTe-NmzKtAEqSWjs_Tp9PQ')"
7874,OKTAY FERİT,1989,Hipertiroidide tedavi öncesi ve tedavi sırasında tiroid hormonları ile serum angiotensin-converting enzim aktivitesi arasındaki ilişki<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('L-q81YrVkHC48taqgBSqDw','L-q81YrVkHC48taqgBSqDw')"
4927,CİHAN AKSOY,1988,"Duchenne progressif musküler distrofi olgularında uygulanan izometrik, izotonik, germe ve solunum egzersizlerinin etkileri<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('SwY7uWAFJ-x8wRhYVrkZgw','SwY7uWAFJ-x8wRhYVrkZgw')"
7499,OSMAN SAMİ KATIRCIOĞLU,1989,Otosklerozda HLA-doku antijenleri değerlendirmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('--pyMewMZTWUrl4D4hs0jw','--pyMewMZTWUrl4D4hs0jw')"
8459,REJİN KEBUDİ,1989,"Çok sayıda kan ve kan ürünleri transfüzyonu alan pediatrik hematoloji-onkoloji hastalarında HIV, HBV ve aktif CMV seroprevalansı<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('SUEWOeQBirMGknj5iG9Sbw','SUEWOeQBirMGknj5iG9Sbw')"
150574,KUTLU SEVİN,1984,Aksial pattern fleplerde safhalı pedikül ayrılmasının flep yaşamına katkısı<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Plastik ve Rekonstrüktif Cerrahi = Plastic and Reconstructive Surgery," onclick=tezDetay('9fXX9TcaHbNV132RqB4-Lg','EIQ5gxq0MDtHepPntnVIIA')"
7875,NURETTİN DEMİRKOL,1989,"Tip I diabetiklerde periferik arterlerden doppler ultrasonografisi ile kaydedilen kan akım hızı eğrilerinin kantitatif değerlendirilmesi (Yaş, diabetin süresi, kolesterol, trigliserid ve fruktozaminin bu eğriler üzeri..<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('rT0ahCecP10A8G1nh4VEeA','rT0ahCecP10A8G1nh4VEeA')"
7876,ŞÜKRÜ PALANDUZ,1989,"Faz kontrast mikroskobu ile idrar eritrosit morfolojisine bakılarak, glomeruler ve nonglomeruler hematürinin ayırt edilmesi<br><span style='font-style: italic';> ",İstanbul Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('PeW-yekzIMI-EoHelJbxcA','PeW-yekzIMI-EoHelJbxcA')"
4928,MÜJEN İLNEM,1988,Astmatik çocukların ebeveynleri ile astmatik olmayan çocukların ebeveynlerinin kişilik özellikleri yönünden karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Psikoloji = Psychology," onclick=tezDetay('XMzhIndrXPa_nMSQHqJ2Yg','XMzhIndrXPa_nMSQHqJ2Yg')"
4929,NİHAL SALMAYENLİ,1988,Malignite ve sirotik asit sıvılarının ayrılmasında asit sıvısındaki lipitlerin değeri ve protein düzeyleri ile karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('PJJBJhRGeVSRY3v6WSsEuA','PJJBJhRGeVSRY3v6WSsEuA')"
4930,RAHİM MALEK GAVGANİ,1988,İntraoküler lens komplikasyonları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('m3umQUNcI72PEm2cnJOs7g','m3umQUNcI72PEm2cnJOs7g')"
4931,CEMALETTİN ERTEKİN,1988,Barsak anastomozlarının iyileşmesi ve sütür materyallerinin etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('efDQxzTSMpK7lgM9zgheOw','efDQxzTSMpK7lgM9zgheOw')"
8064,HİDAYET UÇAR,1990,"İ.Ü. Cerrahpaşa Tıp Fakültesi Pediatrik Endokrinoloji Polikliniği\'nde 1976-1986 yılları arasında takip edilen 180 kongenital hipotiroidili olgunun klinik, bioşimik, radyolojik bulgularının değerlendirilmesi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('YmKLSUr4Oq3f0qfSoovotA','YmKLSUr4Oq3f0qfSoovotA')"
8065,YÜCEL TAŞDAN,1990,Tüberküloz menenjit ve viral menenjitlilerin BOS ve kanlarında aktif-E rozet<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('8u3wnBHjAVOQT1aL4xAwoA','8u3wnBHjAVOQT1aL4xAwoA')"
8461,M.AKİF SAĞLAM,1990,"Kronik ürtikerlerde besin deri-pencere testi ve besin özgül IgE düzeylerinin, prik deri testleriyle karşılaştırmalı incelenmesi ve tedaviye yanıt<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('RK9Lz18WP5MAiMql7SbIGQ','RK9Lz18WP5MAiMql7SbIGQ')"
3900,CAHİT ERDEM,1988,Nazofarenks karsinomunda bilgisayarlı tomografi bulgularının değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('Lk0X0Y9jtI_KknAdIh_JiQ','Lk0X0Y9jtI_KknAdIh_JiQ')"
8066,MEHMET HEYSEM AŞURİ,1989,"Tavşan serumunda lipaz, triaçilgliserol ve fosfolipid düzeyleri üzerine parotinin etkisi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('Mc4c7U4v4ycBI5kVHTQ-Og','Mc4c7U4v4ycBI5kVHTQ-Og')"
8067,MEHMET OSMAN BATURAY,1989,"Tip I diabetiklerde argon laser koagülasyon endikasyonu ve fonksiyonel, morfolojik değerlendirilmesi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('mfCIJNa0PK7NUVrMD236ew','mfCIJNa0PK7NUVrMD236ew')"
8068,METİN ÖZTÜRK,1989,İnsan serumlarında giardia intestinalise karşı oluşan antikorların ELISA yöntemi ile araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('0HQUJC5DsD02WyspvC_EFw','0HQUJC5DsD02WyspvC_EFw')"
8069,HÜRRİYET YILMAZ,1990,Lomber disk hernilerinde radikülopati değerlendirilmesinde kompüterize tomografi ve elektromyografinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('X96AiFwMHLMULunTlMGOmg','X96AiFwMHLMULunTlMGOmg')"
4932,AHMET BELCE,1988,Detoksifikasyon mekanizması enzimlerinden superoksid dismutazın beyin tümörlerinden meningiom dokusunda tayini<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('1Fj5IWD9UI5gwu9RWjtMDA','1Fj5IWD9UI5gwu9RWjtMDA')"
4933,MEHMET ULUSOY,1988,Suların bakteriyolojik muayenelerinde rhodococcus coprophilusların önemi üzerinde çalışmalar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('7zqVn2OzaHLg-OTn0-RMeg','7zqVn2OzaHLg-OTn0-RMeg')"
4934,HAFİZE UZUN,1989,Elastazın elastini sindirme özelliğine bazı mono ve disakkaritlerin etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('eAXR7aieWa5TzjIDuaFyDw','eAXR7aieWa5TzjIDuaFyDw')"
4935,CENGİZ SOLAKOĞLU,1989,Kronik otitis medialı hastaların preporatif bilgisayarlı tomografi incelemelerinin operasyon bulgularıyla karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('VJC8KCk3natQCjKiI2hXCg','VJC8KCk3natQCjKiI2hXCg')"
4936,MUSTAFA KORAY GÜMÜŞTAŞ,1989,Bazı olgularda plazma ve lökosit C vitamini (askorbik asid) konsantrasyonu<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('s4QIgHRFDQ9ZvzGNwovwlA','s4QIgHRFDQ9ZvzGNwovwlA')"
158546,RENAN GÜRKAN,1984,Kliniğimizin 17 yıllık materyelinde perinatal anne ölümleri<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Kadın Hastalıkları ve Doğum = Obstetrics and Gynecology," onclick=tezDetay('OWOA-Zr06nIM8r7CAVdgDg','H8gyJTsICpwc79HjymMATw')"
3141,ABDULAZİZ KURAL,1987,Diabetes Mellitus\'ta plazma protein C düzeyleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Uyr1qC2T52b_S5Lh6xwlFg','Uyr1qC2T52b_S5Lh6xwlFg')"
81035,AHMET NAYIR,1985,Yenidoğan elektrokardiyogramı<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('onXl0CFtnuaaq7JAWuU-jQ','onXl0CFtnuaaq7JAWuU-jQ')"
4957,OSMAN BARAN TORTUM,1988,Sigmoid kolon volvuluslarında cerrahi tedavi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('-RLA47kphr9XIJv2N7q8-g','-RLA47kphr9XIJv2N7q8-g')"
4937,NURAY NURSOY,1989,Listeria bakterilerinin koyun ve sığır dışkılarından ayrılması için besiyeri geliştirme çalışmaları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('2olg4JCXE2q53QYTzyUqAA','2olg4JCXE2q53QYTzyUqAA')"
4938,ABDÜLLATİF LATİF,1988,Asitli kronik karaciğer hastalarında metoclopramid ve L-dopa\'nın büyüme hormonu düzeyleri üzerine etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('NDkH-6ES5L5gCtp-ETkNDg','NDkH-6ES5L5gCtp-ETkNDg')"
4939,İRFAN PAPİLA,1988,Total larenjektomililerde tuba eustachi ve orta kulak fonksiyonlarının odiometre ve elektroakustik impedansmetre ile araştırılması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('GStNEbjDc68nKUdnwHrvaQ','GStNEbjDc68nKUdnwHrvaQ')"
4940,YUSUF PURGEZER,1988,Diüretiklerin gözyaşı sekresyonu ve gözyaşı dağılma zamanı üzerine olan etkileri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('wTtUoFVB3tJ5C5Rom8rmeA','wTtUoFVB3tJ5C5Rom8rmeA')"
4941,HATİCE ERDOĞAN (FAYDALI),1988,Retinopati komplikasyonunu gösteren ve retinopatisiz diabetiklerde adenohipofiz fonksiyonu<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('n4KOC_bpiQ62U5cJaPA8bA','n4KOC_bpiQ62U5cJaPA8bA')"
2719,RAHMAN RASTGOOY,1987,Suların bakteriyolojik muayenelerinde bifidobacteriumların önemi üzerinde çalışmalar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('8_nk-O8HShEqynRTS-66IQ','8_nk-O8HShEqynRTS-66IQ')"
3142,SAFİNAZ BOZTAŞ,1987,Nifedipinin yüzeyel elektrokardiyogramda QTc ve ST segmenti sürelerine olan etkileri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('l1cgi7Pd4YeKwFafFONQog','l1cgi7Pd4YeKwFafFONQog')"
3143,ENVER DAYIOĞLU,1987,"Hipotermik kardiopleji altında, global iskemiye uğratılmış izole sıçan kalplerinde, reperfüzyon sıvısı ve myokard ısılarının, iskemi sonrası kalp performansına etkileri<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('fPx0-LJK0hMQS1D3XJ6koA','fPx0-LJK0hMQS1D3XJ6koA')"
8070,MELTEM AYAZ,1990,Holter yöntemi ile saptanan süreksiz ventrikül taşikardilerine öncelik eden EKG morfoloji değişimleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('d-TlFUaJW4bVBX_JLT2vdQ','d-TlFUaJW4bVBX_JLT2vdQ')"
8071,VAROL ÇELİK,1990,Meme kanserinin konservatif cerrahi yöntemlerle tedavisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('o0jkLhfbeAA7v7GSQ3myLQ','o0jkLhfbeAA7v7GSQ3myLQ')"
2968,ALİ KALKAN,1988,Dejeneratif lomber spinal stenozlu hastalarda ve fikse kadavralarda redundant sinir kökleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('1ethd8RfgRVhDzz5FNqBSg','1ethd8RfgRVhDzz5FNqBSg')"
4942,VECDET ÖZ,1988,Çeşitli muayene maddelerinden izole edilen enterobacter cinsi bakterilerde tür tayini<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('n8a8RSlbAS4ge3DPnTjL0Q','n8a8RSlbAS4ge3DPnTjL0Q')"
4943,R.FERRUH İLTER,1988,"Koksartrozun cerrahi tedavisinde femur üst uç osteotomilerinin endikasyonları, uygulamaları ve geç sonuçları<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('J_g-9v6OLm2SIcMay4CVXQ','J_g-9v6OLm2SIcMay4CVXQ')"
4944,NECDET OKBAY,1988,Prolaktinoma ön tanılı olgularda BT bulgularının değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('85Wg0AJNBufK4Fz4E5WAsw','85Wg0AJNBufK4Fz4E5WAsw')"
4945,NAZIM KORKUT,1988,Yurdumuzda coğrafi yörelere göre burun şekilleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('7OG0zvRs81b7GqYymws50g','7OG0zvRs81b7GqYymws50g')"
3144,NECDET YEĞENOĞLU,1988,Deneysel pankreas kanalı bağlanması sonucu oluşturulmuş kronik pankreatitte total pankreatektomi sonrası langerhans adacık ototransplantasyonunun etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('jddIgaNo4FamosvcgUb4Gw','jddIgaNo4FamosvcgUb4Gw')"
3145,MASSİHS MADANİ,1988,Gastro intestinal fistüllerin tedavisinde seroza yaması (serozal patch) yöntemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('RlosNQWSIBoUCVWcHppPtQ','RlosNQWSIBoUCVWcHppPtQ')"
3146,CUMA YORGANCI,1987,İnce iğne aspirasyon biyopsisinin tiroid hastalıklarındaki yeri ve önemi (623 vaka üzerinde sitolojik çalışma ve 166 vaka ile histopatolojik kıyaslaması)<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Patoloji = Pathology," onclick=tezDetay('Y-NwlK0sJxD2BeTLHLNbcg','Y-NwlK0sJxD2BeTLHLNbcg')"
12075,ALP BOZBORA,1990,Kavernöz hemanjiomda cerrahi tedavi yöntemleri<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('ytAdux4DShfdtaML4xc8-Q','ytAdux4DShfdtaML4xc8-Q')"
12076,MAHMUT MÜSLÜMANOĞLU,1990,"Peroperatuvar, paratiroid glandlarının belirlenmesinde metilen mavisi infüzyonu ile boyamanın etkinliği<br><span style='font-style: italic';> ",İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('1Pd_VcFCG5Z6xUcgawNJTA','1Pd_VcFCG5Z6xUcgawNJTA')"
3898,LEYLA ALPARSLAN,1988,Yenidoğan ve süt çocuklarına ait intrakranial patolojilerin ultrasonografi ile değerlendirilmesi; sonuçların bilgisayarlı tomografi ile karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('V4NsL_Oth80ZH5_466Ilug','V4NsL_Oth80ZH5_466Ilug')"
3899,METİN YILDIZAY,1988,Prostat hastalıklarında transabdominal ve transrektal yöntemlerle yapılan ultrasonografik tanı değeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('EYfvpuDueNGRaLcW2UY3lQ','EYfvpuDueNGRaLcW2UY3lQ')"
150905,GÜNGÖR BOZTAŞ,1985,Primer hipertansiyonlu ailelerin normal tansiyonlu çocuklarında eritrosit içi sıvı volümlerinin araştırılması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('fJROUTFGHLTbaZYIWXnLrQ','1K0XLRTskTtVKmGqTLoouA')"
152206,NUR AKGÜN ŞENEL,1984,Ventilatöre uyumsuzluk gösteren yoğun bakım hastalarında rohypnol\'un yeri<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('QJjFMm0GzrKKUfxx-X6CqA','0n6Yc-7_Zo8fEps4FGHAqw')"
4946,ALİ GENÇOĞLU,1988,Akut myeloid lösemide prognostik faktörlerin değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Hematoloji = Hematology," onclick=tezDetay('a6mgHkzt6341pCaXj_eMAQ','a6mgHkzt6341pCaXj_eMAQ')"
